SEX,GEO,Total,Personal care,Sleep,Eating,Other personal care,Employment,Commuting,Employment Activities,Study,At school and university,Homework,Household and family care,Food management,Dish washing,House cleaning,Household upkeep,Laundry,Ironing,Textile care,Gardening,Caring for pets,Construction and repairs,Errands,Childcare,Instructional childcare,Household member care,Leisure and social life,Organizing,Neighbor care,Participatory activities,Visiting and feasts,Other social life,Entertainment and culture,Resting,Walking and hiking,Sports and outdoor activities,Computing,Hobbies and games,Reading books,Other reading,TV and video,Radio and music,Unspecified leisure,Travel unrelated to work,Travel to and from work,Travel related to study,Transporting children,Unspecified time use,Happiness score
Females,Belgium,24:00:00,11:11,8:34,1:50,0:47,1:53,1:52,0:01,0:16,0:06,0:06,4:10,0:57,0:20,0:26,0:28,0:09,0:19,0:06,0:10,0:03,0:04,0:33,0:16,0:07,0:10,5:06,0:03,0:00,0:03,0:37,0:24,0:11,0:31,0:11,0:07,0:09,0:09,0:08,0:16,2:13,0:03,0:01,1:22,0:15,0:02,0:04,0:02,6.929
Females,Bulgaria,24:00:00,11:38,9:07,1:55,0:36,2:34,2:33,0:02,0:06,0:02,0:04,5:01,1:37,0:36,0:31,0:13,0:19,0:06,0:16,0:24,0:01,0:02,0:16,0:13,0:10,0:02,3:47,0:00,0:08,0:01,0:05,0:32,0:01,0:08,0:14,0:03,0:00,0:02,0:10,0:06,2:14,0:03,0:00,0:52,0:17,0:01,0:01,0:02,4.217
Females,Germany,24:00:00,10:58,8:15,1:46,0:56,1:56,1:53,0:03,0:13,0:04,0:04,4:14,0:49,0:21,0:39,0:15,0:13,0:10,0:07,0:13,0:04,0:03,0:38,0:16,0:09,0:12,5:15,0:07,0:09,0:04,0:19,0:49,0:14,0:20,0:15,0:12,0:06,0:16,0:08,0:30,1:40,0:04,0:00,1:19,0:13,0:02,0:04,0:05,6.994
Females,Estonia,24:00:00,10:30,8:26,1:12,0:53,3:05,3:02,0:03,0:07,0:02,0:03,4:53,1:19,0:25,0:34,0:14,0:14,0:07,0:14,0:19,0:02,0:03,0:29,0:25,0:10,0:06,4:18,0:01,0:12,0:02,0:04,0:27,0:04,0:17,0:10,0:05,0:01,0:05,0:17,0:20,2:06,0:06,0:00,1:02,0:20,0:01,0:03,0:05,5.517
Females,Spain,24:00:00,11:05,8:32,1:44,0:49,2:06,2:05,0:01,0:20,0:06,0:07,4:55,1:20,0:29,0:50,0:11,0:11,0:12,0:10,0:03,0:01,0:01,0:35,0:25,0:05,0:19,4:26,0:01,0:12,0:05,0:16,0:34,0:06,0:26,0:32,0:06,0:03,0:05,0:04,0:08,1:46,0:02,0:00,1:05,0:18,0:03,0:06,0:02,6.361
Females,France,24:00:00,11:53,8:55,2:11,0:46,2:17,2:16,0:01,0:14,0:08,0:05,4:34,1:01,0:25,0:58,0:07,0:07,0:15,0:08,0:09,0:05,0:04,0:41,0:20,0:08,0:04,4:05,0:01,0:09,0:05,0:24,0:20,0:05,0:06,0:17,0:06,0:02,0:11,0:01,0:22,1:55,0:02,0:00,0:54,0:15,0:01,0:05,0:03,6.478
Females,Italy,24:00:00,11:12,8:19,1:52,1:01,1:52,1:50,0:02,0:14,0:04,0:09,5:20,1:19,0:35,1:24,0:06,0:10,0:20,0:08,0:06,0:01,0:01,0:36,0:18,0:10,0:05,4:06,0:01,0:13,0:08,0:26,0:23,0:04,0:31,0:17,0:06,0:02,0:05,0:06,0:10,1:29,0:03,0:00,1:14,0:15,0:02,0:06,0:03,5.977
Females,Latvia,24:00:00,10:53,8:44,1:26,0:43,3:29,3:26,0:04,0:12,0:07,0:04,3:56,1:06,0:22,0:27,0:15,0:09,0:03,0:09,0:20,0:02,0:01,0:21,0:14,0:07,0:08,4:08,0:00,0:11,0:03,0:24,0:11,0:04,0:20,0:15,0:06,0:01,0:04,0:13,0:16,1:55,0:04,0:00,1:20,0:24,0:03,0:03,0:03,5.56
Females,Lithuania,24:00:00,10:56,8:35,1:26,0:56,3:31,3:29,0:02,0:10,0:05,0:03,4:29,1:18,0:22,0:38,0:21,0:11,0:04,0:11,0:15,0:02,0:02,0:21,0:16,0:09,0:01,3:45,0:00,0:11,0:04,0:22,0:10,0:02,0:13,0:08,0:05,0:02,0:02,0:10,0:13,1:59,0:04,0:00,1:05,0:20,0:02,0:01,0:04,5.813
Females,Poland,24:00:00,11:03,8:35,1:34,0:54,2:15,2:14,0:01,0:14,0:06,0:06,4:45,1:30,0:29,0:34,0:14,0:14,0:07,0:05,0:10,0:02,0:02,0:30,0:22,0:17,0:02,4:32,0:00,0:14,0:15,0:23,0:26,0:02,0:12,0:12,0:04,0:02,0:06,0:13,0:12,2:03,0:06,0:00,1:06,0:14,0:03,0:03,0:05,5.835
Females,Slovenia,24:00:00,10:32,8:25,1:26,0:41,2:42,2:39,0:03,0:19,0:06,0:11,4:56,1:24,0:28,0:39,0:16,0:09,0:16,0:07,0:25,0:02,0:02,0:21,0:19,0:11,0:03,4:27,0:00,0:06,0:05,0:07,0:50,0:04,0:30,0:18,0:08,0:02,0:05,0:09,0:14,1:44,0:05,0:00,1:02,0:16,0:03,0:03,0:02,5.768
Females,Finland,24:00:00,10:38,8:32,1:19,0:47,2:33,2:32,0:02,0:16,0:09,0:05,3:56,0:55,0:15,0:26,0:23,0:13,0:05,0:10,0:08,0:03,0:04,0:32,0:21,0:08,0:05,5:17,0:04,0:12,0:03,0:30,0:25,0:05,0:20,0:13,0:15,0:02,0:10,0:14,0:33,2:02,0:08,0:00,1:07,0:14,0:02,0:03,0:12,7.413
