SEX,CodeExt,Code,GEO,Total,Personal care,Sleep,Eating,Other personal care,Employment,Commuting,Employment Activities,Study,At school and university,Homework,Household and family care,Food management,Dish washing,House cleaning,Household upkeep,Laundry,Ironing,Textile care,Gardening,Caring for pets,Construction and repairs,Errands,Childcare,Instructional childcare,Household member care,Leisure and social life,Organizing,Neighbor care,Participatory activities,Visiting and feasts,Other social life,Entertainment and culture,Resting,Walking and hiking,Sports and outdoor activities,Computing,Hobbies and games,Reading books,Other reading,TV and video,Radio and music,Unspecified leisure,Travel unrelated to work,Travel to and from work,Travel related to study,Transporting children,Unspecified time use,Happiness score
Females,BEL,BE,Belgium,24:00:00,11:11,08:34,01:50,00:47,01:53,01:52,00:01,00:16,00:06,00:06,04:10,00:57,00:20,00:26,00:28,00:09,00:19,00:06,00:10,00:03,00:04,00:33,00:16,00:07,00:10,05:06,00:03,00:00,00:03,00:37,00:24,00:11,00:31,00:11,00:07,00:09,00:09,00:08,00:16,02:13,00:03,00:01,01:22,00:15,00:02,00:04,00:02,6.929
Females,BGR,BG,Bulgaria,24:00:00,11:38,09:07,01:55,00:36,02:34,02:33,00:02,00:06,00:02,00:04,05:01,01:37,00:36,00:31,00:13,00:19,00:06,00:16,00:24,00:01,00:02,00:16,00:13,00:10,00:02,03:47,00:00,00:08,00:01,00:05,00:32,00:01,00:08,00:14,00:03,00:00,00:02,00:10,00:06,02:14,00:03,00:00,00:52,00:17,00:01,00:01,00:02,4.217
Females,DEU,DE,Germany,24:00:00,10:58,08:15,01:46,00:56,01:56,01:53,00:03,00:13,00:04,00:04,04:14,00:49,00:21,00:39,00:15,00:13,00:10,00:07,00:13,00:04,00:03,00:38,00:16,00:09,00:12,05:15,00:07,00:09,00:04,00:19,00:49,00:14,00:20,00:15,00:12,00:06,00:16,00:08,00:30,01:40,00:04,00:00,01:19,00:13,00:02,00:04,00:05,6.994
Females,EST,EE,Estonia,24:00:00,10:30,08:26,01:12,00:53,03:05,03:02,00:03,00:07,00:02,00:03,04:53,01:19,00:25,00:34,00:14,00:14,00:07,00:14,00:19,00:02,00:03,00:29,00:25,00:10,00:06,04:18,00:01,00:12,00:02,00:04,00:27,00:04,00:17,00:10,00:05,00:01,00:05,00:17,00:20,02:06,00:06,00:00,01:02,00:20,00:01,00:03,00:05,5.517
Females,ESP,ES,Spain,24:00:00,11:05,08:32,01:44,00:49,02:06,02:05,00:01,00:20,00:06,00:07,04:55,01:20,00:29,00:50,00:11,00:11,00:12,00:10,00:03,00:01,00:01,00:35,00:25,00:05,00:19,04:26,00:01,00:12,00:05,00:16,00:34,00:06,00:26,00:32,00:06,00:03,00:05,00:04,00:08,01:46,00:02,00:00,01:05,00:18,00:03,00:06,00:02,6.361
Females,FRA,FR,France,24:00:00,11:53,08:55,02:11,00:46,02:17,02:16,00:01,00:14,00:08,00:05,04:34,01:01,00:25,00:58,00:07,00:07,00:15,00:08,00:09,00:05,00:04,00:41,00:20,00:08,00:04,04:05,00:01,00:09,00:05,00:24,00:20,00:05,00:06,00:17,00:06,00:02,00:11,00:01,00:22,01:55,00:02,00:00,00:54,00:15,00:01,00:05,00:03,6.478
Females,ITA,IT,Italy,24:00:00,11:12,08:19,01:52,01:01,01:52,01:50,00:02,00:14,00:04,00:09,05:20,01:19,00:35,01:24,00:06,00:10,00:20,00:08,00:06,00:01,00:01,00:36,00:18,00:10,00:05,04:06,00:01,00:13,00:08,00:26,00:23,00:04,00:31,00:17,00:06,00:02,00:05,00:06,00:10,01:29,00:03,00:00,01:14,00:15,00:02,00:06,00:03,5.977
Females,LVA,LV,Latvia,24:00:00,10:53,08:44,01:26,00:43,03:29,03:26,00:04,00:12,00:07,00:04,03:56,01:06,00:22,00:27,00:15,00:09,00:03,00:09,00:20,00:02,00:01,00:21,00:14,00:07,00:08,04:08,00:00,00:11,00:03,00:24,00:11,00:04,00:20,00:15,00:06,00:01,00:04,00:13,00:16,01:55,00:04,00:00,01:20,00:24,00:03,00:03,00:03,5.56
Females,LTU,LT,Lithuania,24:00:00,10:56,08:35,01:26,00:56,03:31,03:29,00:02,00:10,00:05,00:03,04:29,01:18,00:22,00:38,00:21,00:11,00:04,00:11,00:15,00:02,00:02,00:21,00:16,00:09,00:01,03:45,00:00,00:11,00:04,00:22,00:10,00:02,00:13,00:08,00:05,00:02,00:02,00:10,00:13,01:59,00:04,00:00,01:05,00:20,00:02,00:01,00:04,5.813
Females,POL,PL,Poland,24:00:00,11:03,08:35,01:34,00:54,02:15,02:14,00:01,00:14,00:06,00:06,04:45,01:30,00:29,00:34,00:14,00:14,00:07,00:05,00:10,00:02,00:02,00:30,00:22,00:17,00:02,04:32,00:00,00:14,00:15,00:23,00:26,00:02,00:12,00:12,00:04,00:02,00:06,00:13,00:12,02:03,00:06,00:00,01:06,00:14,00:03,00:03,00:05,5.835
Females,SVN,SI,Slovenia,24:00:00,10:32,08:25,01:26,00:41,02:42,02:39,00:03,00:19,00:06,00:11,04:56,01:24,00:28,00:39,00:16,00:09,00:16,00:07,00:25,00:02,00:02,00:21,00:19,00:11,00:03,04:27,00:00,00:06,00:05,00:07,00:50,00:04,00:30,00:18,00:08,00:02,00:05,00:09,00:14,01:44,00:05,00:00,01:02,00:16,00:03,00:03,00:02,5.768
Females,FIN,FI,Finland,24:00:00,10:38,08:32,01:19,00:47,02:33,02:32,00:02,00:16,00:09,00:05,03:56,00:55,00:15,00:26,00:23,00:13,00:05,00:10,00:08,00:03,00:04,00:32,00:21,00:08,00:05,05:17,00:04,00:12,00:03,00:30,00:25,00:05,00:20,00:13,00:15,00:02,00:10,00:14,00:33,02:02,00:08,00:00,01:07,00:14,00:02,00:03,00:12,7.413
Females,GBR,GB,United Kingdom,24:00:00,10:43,08:27,01:26,00:50,02:24,02:21,00:03,00:09,00:04,00:03,04:15,00:59,00:18,00:38,00:12,00:11,00:11,00:05,00:07,00:05,00:04,00:39,00:23,00:10,00:05,04:55,00:03,00:11,00:05,00:30,00:31,00:06,00:23,00:03,00:07,00:04,00:11,00:07,00:18,02:09,00:05,00:00,01:25,00:17,00:01,00:09,00:10,6.725
Females,NOR,NO,Norway,24:00:00,10:27,08:10,01:20,00:56,02:38,02:37,00:01,00:15,00:09,00:06,03:47,00:51,00:21,00:33,00:02,00:11,00:04,00:12,00:09,00:01,00:04,00:27,00:25,00:09,00:14,05:40,00:01,00:08,00:05,01:01,00:56,00:06,00:12,00:13,00:14,00:05,00:10,00:11,00:28,01:39,00:07,00:02,01:11,00:18,00:02,00:03,00:03,7.498
