SEX,CodeExt,Code,GEO,Total,Personal care,Sleep,Eating,Other personal care,Employment,Commuting,Employment Activities,Study,At school and university,Homework,Household and family care,Food management,Dish washing,House cleaning,Household upkeep,Laundry,Ironing,Textile care,Gardening,Caring for pets,Construction and repairs,Errands,Childcare,Instructional childcare,Household member care,Leisure and social life,Organizing,Neighbor care,Participatory activities,Visiting and feasts,Other social life,Entertainment and culture,Resting,Walking and hiking,Sports and outdoor activities,Computing,Hobbies and games,Reading books,Other reading,TV and video,Radio and music,Unspecified leisure,Travel unrelated to work,Travel to and from work,Travel related to study,Transporting children,Unspecified time use,Happiness score
Males,BEL,BE,Belgium,24:00:00,10:45,08:15,01:49,00:42,03:07,03:05,00:02,00:11,00:05,00:03,02:28,00:22,00:10,00:08,00:18,00:01,00:01,00:00,00:19,00:03,00:19,00:24,00:05,00:04,00:08,05:58,00:07,00:00,00:03,00:32,00:23,00:10,00:27,00:12,00:15,00:22,00:13,00:06,00:22,02:35,00:05,00:01,01:30,00:25,00:02,00:03,00:01,6.929
Males,BGR,BG,Bulgaria,24:00:00,11:54,09:08,02:07,00:39,03:32,03:27,00:04,00:03,00:02,00:01,02:37,00:15,00:05,00:06,00:22,00:01,00:00,00:00,00:36,00:01,00:16,00:13,00:02,00:05,00:01,04:46,00:00,00:09,00:01,00:04,00:37,00:01,00:10,00:16,00:10,00:01,00:11,00:06,00:15,02:41,00:06,00:01,01:07,00:23,00:00,00:01,00:02,4.217
Males,DEU,DE,Germany,24:00:00,10:40,08:08,01:43,00:49,03:27,03:21,00:06,00:15,00:06,00:05,02:22,00:16,00:08,00:11,00:14,00:02,00:01,00:00,00:17,00:03,00:19,00:29,00:05,00:05,00:09,05:42,00:09,00:08,00:04,00:17,00:45,00:14,00:16,00:13,00:15,00:16,00:18,00:06,00:31,01:58,00:05,00:00,01:29,00:27,00:02,00:02,00:05,6.994
Males,EST,EE,Estonia,24:00:00,10:35,08:24,01:19,00:52,04:27,04:20,00:07,00:06,00:03,00:02,02:33,00:21,00:06,00:09,00:22,00:01,00:00,00:01,00:16,00:01,00:29,00:20,00:06,00:04,00:06,05:02,00:02,00:15,00:01,00:04,00:26,00:05,00:21,00:10,00:13,00:02,00:05,00:14,00:23,02:29,00:11,00:00,01:12,00:28,00:01,00:01,00:04,5.517
Males,ESP,ES,Spain,24:00:00,11:11,08:36,01:47,00:48,04:21,04:17,00:03,00:18,00:06,00:07,01:37,00:19,00:04,00:07,00:06,00:01,00:00,00:00,00:09,00:01,00:06,00:19,00:07,00:04,00:06,05:16,00:01,00:07,00:03,00:12,00:45,00:07,00:24,00:39,00:14,00:09,00:10,00:04,00:13,02:00,00:05,00:00,01:16,00:31,00:02,00:02,00:02,6.361
Males,FRA,FR,France,24:00:00,11:44,08:45,02:18,00:41,03:48,03:46,00:02,00:15,00:09,00:05,02:24,00:16,00:08,00:11,00:08,00:01,00:01,00:00,00:18,00:05,00:32,00:30,00:05,00:04,00:04,04:44,00:01,00:10,00:07,00:21,00:20,00:05,00:06,00:20,00:17,00:07,00:14,00:01,00:22,02:08,00:04,00:00,01:03,00:24,00:02,00:02,00:02,6.478
Males,ITA,IT,Italy,24:00:00,11:16,08:17,01:57,01:02,04:15,04:11,00:04,00:11,00:04,00:06,01:35,00:11,00:05,00:09,00:06,00:00,00:00,00:00,00:16,00:01,00:06,00:22,00:04,00:07,00:04,05:05,00:02,00:07,00:04,00:17,00:42,00:06,00:32,00:23,00:15,00:07,00:12,00:04,00:17,01:52,00:04,00:00,01:35,00:32,00:02,00:02,00:03,5.977
Males,LVA,LV,Latvia,24:00:00,10:46,08:35,01:33,00:37,05:00,04:55,00:06,00:09,00:05,00:02,01:50,00:16,00:04,00:06,00:21,00:01,00:00,00:00,00:17,00:01,00:17,00:12,00:02,00:02,00:06,04:45,00:00,00:11,00:01,00:20,00:14,00:05,00:23,00:12,00:19,00:03,00:05,00:09,00:17,02:18,00:06,00:00,01:28,00:37,00:02,00:01,00:02,5.56
Males,LTU,LT,Lithuania,24:00:00,10:53,08:28,01:32,00:53,04:45,04:43,00:03,00:09,00:07,00:02,02:09,00:20,00:04,00:10,00:29,00:01,00:00,00:01,00:11,00:01,00:17,00:13,00:03,00:04,00:01,04:47,00:00,00:15,00:02,00:21,00:12,00:01,00:15,00:08,00:13,00:05,00:04,00:05,00:18,02:36,00:09,00:00,01:13,00:28,00:01,00:01,00:03,5.813
Males,POL,PL,Poland,24:00:00,10:44,08:21,01:33,00:50,04:01,03:58,00:03,00:14,00:07,00:06,02:22,00:25,00:06,00:09,00:20,00:01,00:01,00:00,00:12,00:02,00:19,00:21,00:05,00:10,00:01,05:20,00:01,00:16,00:09,00:22,00:28,00:02,00:15,00:13,00:12,00:05,00:07,00:07,00:14,02:34,00:10,00:00,01:13,00:23,00:02,00:01,00:05,5.835
